,city_name,cloudiness,country,date,humidity,lat,lng,max_temp,wind_speed
0,Teya,75,MX,1563136414,47,21.05,-89.07,100.0,8.05
1,Mount Gambier,90,AU,1563136419,87,-37.83,140.78,50.0,13.87
2,Atuona,16,PF,1563136514,75,-9.8,-139.03,80.8,18.21
3,Myrtle Beach,20,US,1563136487,79,33.7,-78.89,96.01,9.17
4,Kununurra,0,AU,1563136514,25,-15.77,128.74,64.4,11.41
5,Ancud,20,CL,1563136514,81,-41.87,-73.83,48.2,10.29
6,Valparaiso,1,US,1563136231,23,41.47,-87.06,93.0,9.17
7,Rikitea,66,PF,1563136379,84,-23.12,-134.97,74.68,14.76
8,Busselton,67,AU,1563136487,65,-33.64,115.35,52.0,18.48
9,Trelew,68,AR,1563136392,52,-43.25,-65.31,47.86,8.41
10,Lorengau,88,PG,1563136515,82,-2.02,147.27,79.0,8.66
11,Muros,40,ES,1563136515,77,42.77,-9.06,71.01,5.82
12,Jamestown,74,AU,1563136516,91,-33.21,138.6,45.52,6.73
13,Makakilo City,40,US,1563136336,78,21.35,-158.09,86.0,11.41
14,Hambantota,100,LK,1563136516,81,6.12,81.12,81.88,16.28
15,Ushuaia,20,AR,1563136480,75,-54.81,-68.31,42.8,3.36
16,Dikson,100,RU,1563136430,81,73.51,80.55,41.74,12.19
17,Punta Arenas,75,CL,1563136484,93,-53.16,-70.91,39.2,5.82
18,Hobart,40,AU,1563136281,61,-42.88,147.33,48.2,14.99
19,Cape Town,0,ZA,1563136485,87,-33.93,18.42,53.01,8.05
20,Mataura,90,NZ,1563136483,90,-46.19,168.86,38.68,4.81
21,Bathsheba,40,BB,1563136443,79,13.22,-59.52,84.2,24.16
22,Hilo,90,US,1563136510,65,19.71,-155.08,82.0,4.7
23,Kirkwood,0,ZA,1563136518,87,-33.4,25.44,59.0,17.22
24,Fortuna,20,ES,1563136518,83,38.18,-1.13,80.01,9.17
25,Gupitan,100,PH,1563136518,64,7.78,125.64,75.0,5.01
26,Torbay,90,CA,1563136486,93,47.66,-52.73,55.0,13.87
27,Yulara,0,AU,1563136427,65,-25.24,130.99,41.0,5.82
28,Saskylakh,4,RU,1563136518,64,71.97,114.09,45.88,10.45
29,Saint-Philippe,40,CA,1563136387,50,45.36,-73.48,79.0,16.11
30,Leningradskiy,100,RU,1563136519,95,69.38,178.42,36.7,6.91
31,Cidreira,100,BR,1563136519,85,-30.17,-50.22,51.82,7.23
32,Antofagasta,20,CL,1563136519,67,-23.65,-70.4,57.2,10.29
33,Oussouye,40,SN,1563136420,79,12.49,-16.54,86.0,6.93
34,Karasjok,75,NO,1563136520,66,69.47,25.52,48.2,6.93
35,Soritor,79,PE,1563136520,89,-6.14,-77.1,55.78,3.02
36,Albany,20,US,1563136192,45,42.65,-73.75,87.01,17.22
37,Prince George,75,CA,1563136377,77,53.92,-122.75,64.4,10.29
38,Oksfjord,40,NO,1563136520,70,70.24,22.35,48.2,8.05
39,Kaitangata,76,NZ,1563136521,75,-46.28,169.85,36.0,1.99
40,Medicine Hat,75,CA,1563136521,50,50.04,-110.68,81.0,5.82
41,Serebryansk,0,KZ,1563136521,80,49.68,83.3,58.12,2.89
42,Komsomolskiy,99,RU,1563136521,93,67.55,63.78,47.32,4.81
43,Ugoofaaru,100,MV,1563136522,72,5.67,73.0,83.5,8.46
44,Kapaa,75,US,1563136290,78,22.08,-159.32,82.4,19.46
45,Egvekinot,100,RU,1563136522,88,66.32,-179.17,51.46,12.06
46,Hithadhoo,17,MV,1563136522,70,-0.6,73.08,83.14,4.76
47,Maragogi,37,BR,1563136523,92,-9.01,-35.22,72.7,4.56
48,Khatanga,87,RU,1563136523,59,71.98,102.47,48.94,10.76
49,Sarkand,0,KZ,1563136523,39,45.41,79.91,69.28,7.29
50,Beringovskiy,100,RU,1563136384,82,63.05,179.32,55.42,3.11
51,Muravlenko,0,RU,1563136523,66,63.79,74.5,70.18,15.61
52,Thompson,75,CA,1563136402,63,55.74,-97.86,66.2,3.36
